LineId,type,time,Content,EventId,EventTemplate,ParameterList
1127,SERVICE_START,1583785192.775:77,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=accounts-daemon comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=accounts-daemon comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1128,SERVICE_START,1583785192.903:78,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=wpa_supplicant comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=wpa_supplicant comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1129,SERVICE_START,1583785193.271:79,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=networkd-dispatcher comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=networkd-dispatcher comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1130,SERVICE_START,1583785193.611:80,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=ModemManager comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=ModemManager comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1131,SERVICE_START,1583785193.727:81,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=udisks2 comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=udisks2 comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1132,SERVICE_START,1583785194.111:82,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=systemd-hostnamed comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=systemd-hostnamed comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1133,SERVICE_START,1583785194.127:83,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=NetworkManager comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=NetworkManager comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1134,SERVICE_START,1583785194.187:84,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=unattended-upgrades comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=unattended-upgrades comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1135,SERVICE_START,1583785194.227:85,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=vsftpd comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=vsftpd comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
1136,SERVICE_START,1583785194.375:86,"pid=1 uid=0 auid=4294967295 ses=4294967295 msg='unit=NetworkManager-dispatcher comm=""systemd"" exe=""/lib/systemd/systemd"" hostname=? addr=? terminal=? res=success'",b324f02a,pid=<*> uid=<*> auid=<*> ses=<*> <*> <*> <*> hostname=? addr=? <*> <*>,"['1', '0', '4294967295', '4294967295', 'msg=\'unit=NetworkManager-dispatcher comm=""systemd"" exe=""/lib/systemd/systemd""', ""terminal=? res=success'""]"
